ANNUAL_RAINFALL,SEASONAL_RAINFALL,CLOUD_VISIBILITY,HUMIDITY,RIVER_DISCHARGE,DRAINAGE_INDEX,TEMPERATURE,FLOOD
2522.9,1502.4,7.77,66.7,485.9,9.73,31.7,0
2110.1,1003.6,0.2,79.1,1628.8,6.29,30.1,0
2621.0,1944.1,10.1,59.7,2706.2,8.74,23.4,0
3190.0,1931.2,3.79,85.9,1173.1,0.01,25.1,1
2047.8,1298.8,8.06,74.1,1972.2,5.3,26.5,1
2047.8,1066.9,8.22,70.1,1418.2,2.15,27.7,1
3226.5,1919.9,3.37,60.3,468.5,0.94,32.0,1
2698.8,1561.9,7.98,45.3,2087.8,5.32,30.8,0
1894.8,895.3,4.84,62.5,624.2,7.47,28.2,0
2552.7,1230.0,0.2,88.4,1517.3,4.12,27.0,1
1898.8,1331.5,9.5,70.2,1226.8,6.7,20.9,0
1897.3,990.3,3.67,73.0,2214.5,4.9,33.2,1
2357.3,1198.6,3.44,82.9,653.5,4.37,26.2,0
956.4,575.2,4.79,96.7,1812.7,2.9,34.2,0
1078.8,734.3,6.82,90.9,828.2,3.83,28.8,0
1834.5,859.6,5.83,63.3,1091.1,3.5,36.1,0
1541.7,960.5,7.64,51.7,50.0,6.46,30.4,0
2404.3,1167.9,1.98,100.0,3173.7,1.16,22.3,1
1609.8,742.0,3.77,100.0,1940.4,0.93,25.5,1
1282.0,597.2,5.65,77.3,886.1,6.6,27.3,0
3152.7,2207.7,11.69,59.8,600.3,5.46,24.5,0
2053.2,996.6,5.66,86.6,1103.5,4.3,26.5,0
2243.9,1040.1,9.26,73.7,2073.5,1.52,22.5,1
1273.9,740.6,6.12,73.6,50.0,4.11,28.0,0
1846.2,1298.2,4.55,85.7,1386.7,7.9,28.9,0
2272.1,1201.3,5.26,79.0,2916.5,8.9,24.0,0
1451.9,837.0,5.49,60.8,592.8,7.03,35.8,0
2444.2,1129.2,7.81,71.1,1564.3,0.6,28.3,0
1809.6,1058.1,10.12,82.9,3262.6,6.7,24.7,1
2010.4,1253.0,7.08,81.1,2005.7,2.41,21.5,0
1808.9,1123.8,9.56,78.1,1600.7,3.15,28.2,0
3404.0,1871.3,3.11,86.2,1905.3,1.96,27.0,1
2191.2,1193.5,4.76,70.7,1179.3,7.76,31.1,0
1512.5,729.0,3.83,77.1,2539.7,6.49,27.4,0
2734.7,1531.5,6.94,34.5,1180.5,6.12,23.2,0
1406.5,674.9,4.92,69.6,50.0,6.68,34.7,0
2335.8,1588.3,8.19,84.2,1187.0,2.37,29.7,1
926.2,685.3,3.21,70.3,726.6,4.45,27.0,0
1336.7,990.5,6.13,69.4,1275.0,6.33,28.7,0
2328.0,1651.7,8.06,62.5,1292.7,6.37,29.9,0
2680.0,1689.0,0.2,87.0,2457.9,7.92,22.3,1
2311.4,1526.1,12.36,81.6,2056.2,2.87,28.6,1
2124.8,1138.0,5.15,84.9,1710.6,7.7,26.2,0
2004.3,1281.2,0.2,54.3,1497.6,4.4,30.0,0
1239.0,726.9,6.47,73.1,652.9,6.7,25.0,0
1732.1,1029.9,6.1,71.6,50.0,4.56,25.6,0
1900.6,1287.3,5.75,71.6,1590.5,9.49,34.7,0
2887.1,1543.4,8.97,67.6,2135.7,1.79,32.9,1
2423.4,1321.7,8.24,70.8,1413.3,6.75,15.0,0
1054.0,766.7,6.89,85.2,1072.1,5.77,32.6,0
2410.7,1125.5,7.35,52.0,1871.6,1.73,27.7,0
1949.7,1161.4,5.69,96.3,1433.3,0.66,25.2,1
1760.0,1274.0,11.33,80.8,2848.6,7.99,24.0,0
2597.6,1644.6,1.56,74.5,2486.2,1.57,24.2,1
2870.1,1762.0,6.42,85.9,2267.6,1.87,25.3,1
2805.3,1472.6,6.2,57.6,2106.2,9.78,23.5,0
1654.5,914.9,8.44,67.0,467.9,7.17,22.6,0
1999.0,1410.5,3.47,73.5,2030.4,2.5,23.8,1
2415.3,1492.1,0.77,91.4,1801.1,5.91,29.3,1
2834.1,1713.0,6.47,74.4,1985.1,5.34,28.2,1
1888.5,906.3,6.84,80.4,1894.1,8.44,30.2,0
2079.3,945.7,10.47,67.9,1862.2,7.29,27.7,0
1480.9,1094.5,2.19,80.8,3660.7,8.32,22.8,1
1422.5,801.0,9.46,95.1,1439.1,2.12,30.0,0
2728.1,1721.4,13.1,86.9,2249.1,6.4,24.0,0
3081.6,1460.4,4.87,74.0,1123.2,0.4,30.6,1
2153.2,1410.2,2.13,83.1,2132.5,0.69,23.3,1
2852.3,2081.5,4.78,81.9,2251.5,7.14,25.3,1
2435.1,1516.3,6.04,81.1,1791.5,0.24,26.6,1
1780.7,868.7,7.69,88.3,2835.4,5.8,30.7,1
2434.9,1520.6,4.23,88.3,792.6,8.4,28.7,0
3199.7,2175.5,10.67,73.5,1110.2,3.8,28.1,1
2176.7,1244.9,2.66,82.7,1669.9,0.45,35.5,1
3217.0,2296.8,0.78,70.4,2204.6,7.14,20.7,1
497.2,320.5,9.32,63.9,1643.5,9.3,23.8,0
2734.2,1968.0,0.2,71.8,2528.6,7.17,23.7,1
2256.6,1437.6,5.39,74.1,970.6,5.78,20.9,0
2005.6,981.5,15.0,55.1,587.5,2.3,25.1,0
2259.6,1226.8,5.96,85.3,1746.5,0.15,30.8,1
908.1,463.6,2.64,41.8,1438.3,6.95,25.6,0
2057.2,1486.6,5.83,100.0,1934.3,2.31,26.7,1
2432.1,1649.3,5.85,93.0,1478.1,8.58,21.1,0
3160.6,2063.6,6.48,71.9,1228.0,4.66,24.8,1
1863.1,1006.6,7.99,75.1,1440.0,5.31,26.2,0
1674.5,846.0,2.88,78.6,1523.1,7.54,30.6,0
1873.9,1268.5,11.06,67.9,1256.0,7.79,21.3,0
2795.0,1655.3,6.74,77.3,1337.5,6.43,26.2,0
2413.7,1249.7,8.18,73.3,1177.1,9.38,32.3,0
1855.7,1178.3,4.12,73.9,2185.3,9.82,26.2,0
2533.6,1170.8,9.86,77.2,1655.2,9.47,19.5,0
2263.1,1239.8,5.23,59.2,3305.4,8.24,33.1,0
2829.6,1671.1,6.83,75.5,1628.6,7.06,30.9,1
1743.7,862.0,3.2,77.0,1059.3,6.63,31.5,0
